question,answer
惠州台控制的惠州有线电视的招商卖点是什么？,惠州台控制的惠州有线电视在数字电视强制用户观看机顶盒内置广告，并以此作为卖点招商。
《交收东三省条约》又称为什么？,《俄国撤兵条约》
《交收东三省条约》在什么时间签订？,光绪二十八年（1902年）4月8日（俄历3月26日）
《交收东三省条约》第一期撤军撤离了哪里的军队？,奉天省（今辽宁）辽河以西
光绪三十年（1904年）2月爆发了什么战争？,日俄战争
库利昂疗养所位于什么地方？,菲律宾巴拉望省库利昂岛(Culion Island)
库利昂疗养所建于什么时间？,1906年
第一年共有多少位病患入住?,802位
1947年，治疗痲疯病的什么药物被引进库利昂？,砜（sulfone）
索西比乌斯生于什么年代？,西元前三世纪
索西比乌斯是哪一王朝的重臣？,埃及托勒密王朝
在前217年，索西比乌斯陪同托勒密四世进军了什么地方？,巴勒斯坦
索西比乌斯和阿加托克利斯策划谋杀了谁？,阿尔西诺伊三世
纽约大街位于什么地方？,巴黎十六区
纽约大街的原名是什么？,quai Debilly
东京大街在什么时间更名为纽约大街？,1945年2月26日，
为1937年展览而建造了什么建筑？,东京宫（Palais de Tokyo）
乐广字什么？,彦辅
乐广因何而死？,八王之乱期间因被司马乂怀疑叛投司马颖而忧死
乐广年少孤贫侨居在什么地方？,山阳
后来谁曾请乐广与他共谈并相互钦佩推崇？,裴楷
富兰克林·罗斯福大街在什么地方？,巴黎第八区
富兰克林·罗斯福大街因谁而得名？,美国总统富兰克林·德拉诺·罗斯福
该路南段有建于什么建筑？,巴黎大皇宫（Grand Palais）
该路南段的建筑建于哪一年？,1900年
蒙莫朗西站的地址是哪里？,于加拿大魁北克省拉华尔市
由于新站开业，地铁系统每天多了多少乘客？,60000名
哪个地方为全地铁网络中最高？,天花板
吴甡字什么?,鹿友
吴甡依附谁，成为东林党人？,赵南星
吴甡在什么时候官至礼部尚书兼东阁大学士？,崇祯十五年（1642年）
洪龙浩出生于什么地方？,朝鲜半岛平壤
洪龙浩在什么时候晋升司铎？,1933年5月25日（基督升天日）
1962年3月10日，被哪位教宗任命为该教区首任主教？,若望二十三世
2013年公布的什么文件中，洪主教被宣布辞世？,《宗座年鉴》
世嘉（SEGA）NAOMI基板的全称是什么？,New Arcade Operation Machine Idea
该基板采用与世嘉本公司研发的什么游戏机几乎相同的硬件结构？,Dreamcast游戏机
使用了什么储存介质，使得可读取游戏数据容量增大的同时，进一步降低了制造成本？,GD-ROM
NAOMI基板上的名作有哪些？,CVS，VR战士4，疯狂出租车等。
Miro支持哪些系统？,Microsoft Windows、Mac OS X及Linux作业系统
Miro是遵循哪个许可证发布的开源软件？,GNU通用公共许可证
Miro可从哪些网站下载影片?,YouTube、Google影片、Blip以及其他
Miro可以使用搜索功能在什么地方寻找自己需要的影片？,互联网
《贬夜郎》的剧情内容是什么？,李白三次入宫
《贬夜郎》的作者是谁？,王伯成
《贬夜郎》全名是什么?,《李太白贬夜郎》
《李太白贬夜郎》在哪些方面有突出之处？,该剧对李白性格描写是其突出之处，某些地方加以渲染精彩纷呈
克伦特罗的作用类似于什么？,麻黄素（Ephedrine）
克伦特罗有什么用途？,临床上经常用来治疗慢性阻塞性肺疾（COPD），亦被作为缓和气喘急性发作时的支气管扩张剂（Bronchodilator）用药。
克伦特罗是由哪个公司所发现其有明显的促进生长、提高瘦肉率及减少脂肪的效果？,美国Cyanamid公司
克伦特罗哪一年被FDA禁止？,1991年
元亶字什么？,子亮
元亶是哪里人？,河南郡洛阳县（今河南省洛阳市东）人
魏孝武帝元修在哪一年任命清河王元亶为司徒？,532年
元亶的谥号是什么？,文宣
埃及圣鹮又名什么？,埃及圣朱鹭、埃及圣鹭、圣鹮
埃及圣鹮被引入到了那些国家？,法国、义大利、西班牙及美国
保守估计全台湾约有多少只的族群量?,1200至1500只
埃及圣鹮是什么文件中所保护的物种之一？,《非洲-欧亚大陆迁徙水鸟保护协定》
曾涣钊现在在哪个公司工作？,安瑟管理顾问公司
曾涣钊了多久从事企业管理顾问工作？,二十余年
曾涣钊曾为哪些人授课和辅导？,台湾和中国数百家知名企业
曾涣钊发表过多少篇管理文章？,数十篇
巴塞罗那－埃尔普拉特机场提供哪些航线？,提供西班牙国内，以及欧洲、北非的国际航线为主
埃尔普拉特机场开航于哪一年？,1918年
在2010年，超过多少万人次使用巴塞隆纳机场？,292万
卓以和的籍贯是哪里？,北平
卓以和是什么技术的鼻祖？,分子束外延（Molecular beam epitaxy）技术
卓以和的祖父是谁？,卓定谋
卓以和目前担任美国哪个研究所助理副总裁？,Alcatel-Lucent贝尔实验室半导体研究所
美国营运管理协会成立于哪一年？,1957年
美国营运管理协会现有多少会员？,"超过43,000的个人会员及10,000间以上的企业会员"
APICS提供哪两项专业的认证？,APICS CPIM（鉴定产业管理师）及APICS CSCP（国际供应链管理师）
枫树脚溪在哪里？,位于台中盆地，属于乌溪水系，为土库溪的支流，流域分布于台中市乌日区、台中市中心及台中市潭子区
枫树脚溪的名字是怎么来的？,因流经枫树脚聚落（今南屯区枫树里）而得名
旧南屯溪对传统农业社会有什么贡献？,旧南屯溪部分河段保留水利设施，提供周边土地农作灌溉功能，象征旧南屯溪对传统农业社会的贡献。
神华集团主要经营什么业务？,神华集团实行煤炭生产、运输、销售一条龙经营，业务实施「矿、路、电、港、航」一体化，提供煤炭生产和销售，电力生产和供应，煤制油及煤化工，以及相关铁路、港口、航运等运输服务。
神华集团什么是时候成立的？,1995年10
神华集团和哪个公司合并重组了？,中国国电集团公司
神华集团在哪里上市的？,其上市公司是中国神华能源股份，目前在香港交易所和上海证券交易所上市。
隐地的代表作是什么？,《心的挣扎》、《人啊人》、《众生》被称为「人性三书」系列
隐地是哪个地方的作家？,台湾
隐地获得过哪些奖？,1997年荣获中华文艺协会颁发的中华文艺奖章文艺出版奖。2000年获得「年度诗奖」。
隐地什么时候创办了尔雅出版社？,1975年
什么是犊牛式？,又名牛犊式、小斗牛犬式、小牛头犬式或无托结构，一种弹匣和枪机位于扳机后方枪托结合的枪械设计，较常见于步枪上。
犊牛式枪械存在什么问题？,不能随时左右手互换射击
世界最早使用无托结构的武器是什么？,1901年的Thorneycroft式栓动卡宾枪
萨尔诺夫为什么被人们称为「萨尔诺夫将军」？,二战期间，他作为预备役军官，在艾森豪威尔的参谋部任新闻顾问，负责盟军在欧洲的广播，并领准将军衔，所以后来人们习惯称其为「萨尔诺夫将军」
被誉为美国广播通讯业之父的是谁？,大卫·沙诺夫
张家树担任主教的任期是什么时期？,1960年至1988年
张家树出生在什么地方？,江苏省松江府南汇县西八灶（今上海市浦东新区康桥镇沿南村）
张家树的原名叫什么？,张端六
张家树什么时候得到了平反？,1979年
什么是芭比症候群？,形容希望拥有芭比娃娃所代表的外表和生活方式的欲望。
辛蒂·杰克森为整容成芭比娃娃花费了多少钱？,她曾接受了20多次的整容手术 ，花费共5万5千美元元美金
第十一次伊松佐河之役发生在哪次大战期间？,第一次世界大战
十一次战役是谁发起的？,意大利陆军总司令、陆军元帅卡多尔纳
第十一次伊松佐河之役双方损失了多少人？,此战共造成意大利军损失16.7万人，奥军伤亡也惨重，仅被俘即超过3万人
圣路易是哪个地方的城市？,塞内加尔西北部的一座城市，是圣路易区的首府
圣路易的心脏地区在哪里？,位于一个窄长岛屿圣路易斯岛之上，岛屿长2千米，宽400米，距塞内加尔河河口25千米
圣路易的经济以什么为来源？,大部分依靠于旅游业，圣路易斯岛作为世界遗产吸引着大量的游客。此外还有渔业、灌溉冲积农业、畜牧业、商业和尤以食糖产业有名的工业。
《蜜桃女孩》这部漫画是谁创作的？,日本漫画家上田美和
由台湾制作的蜜桃女孩电视剧里的角色有谁参演？,台湾艺人F4之一的吴建豪
国家公务员局是怎么成立的？,国家公务员局是2008年中华人民共和国国务院根据第十一届全国人民代表大会第一次会议批准的《国务院机构改革方案》设立，由人力资源和社会保障部管理的国家局。
纳忠是哪里人？,出生于云南通海县一个穆斯林家庭
纳忠是谁的后裔？,元代忽必烈派驻云南任平章政事的赛典赤·乌马尔·赡思丁的后裔
纳忠在埃及哪所大学读书？,埃及艾资哈尔大学
纳忠获得过哪些殊荣？,如中华人民共和国国务院评为第一批「对高等教育事业有突出贡献」的专家；2001年又获得联合国教科文组织颁发首届「沙迦阿拉伯文化贡献奖」的殊荣。
台湾青年逆转本部成立时的主要目的是什么？,成立时主要目的为支持民主进步党提名总统候选人谢长廷。
台湾青年逆转本部由谁推动成立的？,闪灵乐团主唱Freddy
投融长富集团的前身是什么？,前身为「永成国际集团有限公司」、「中油资源控股有限公司」和「中亚能源控股有限公司」
"投融长富集团在哪一年收购北非突尼西亚油田,而改名""中亚能源控股“？",2009 年
Dabbler是什么？, 由 Sketcher 发展而来，是一套面向儿童的电脑绘画软件
Dabbler最初是由谁研制的？, Fractal Design 
Dabbler 最终转给了谁？, Corel
昙无谶是谁？,南北朝佛教高僧，为著名译经家，是涅槃宗的始祖。
周宜辰什么时候第一次破了全国纪录？,2005年在嘉义大专运动
周宜辰擅长什么运动项目？,标枪
周宜辰的(76.84公尺)全国纪录最终被谁打破？,记录于2010年10月15日苗栗全国田径赛中由桃园农工郑兆村78.69米所破.
帚石楠和欧石楠这两种花属的主要分别是什么？,帚石楠的花萼的裂片遮盖著花瓣，而欧石楠的花瓣则反过来盖著萼片
帚石楠大致分布在欧洲哪些地区？,欧洲及小亚细亚地区
帚石楠是哪些动物的食粮？,"多种反刍动物（如羊、鹿）与及部份鸟类（如松鸡）和昆虫（如有「帚石楠甲虫」之称的""""）"
兴华邨的前身是什么？,前身为徙置区，名为兴华徙置区，俗称「兴华新区」
兴华（二）邨什么时候落成的？,1976年
为什么房委会将兴翠苑改回作公屋用途？,政府突然宣布停售居屋政策，房委会遂决定将兴翠苑改回作公屋用途
宝石大厦位于什么地方？,香港新界荃湾市地段364号，荃湾沙咀道328号
宝石大厦的名称是怎么来的？,根据房协年报，因为此邨邻近安置因兴建石壁水塘而需拆迁的大屿山石壁居民而建的石碧新村，所以以一「石」字作为邨名 。
宝石大厦是哪个事务所设计的？,钟华楠建筑设计事务所
罗珊珊是哪个学校毕业的？,中央戏剧学院表演系
罗珊珊在电视剧《金粉世家》中饰演哪个角色？,金道之
清军攻破舟山后，张名振护卫鲁王投靠了谁？,郑成功
张名振字什么？,字侯服
张名振怎么取得舟山岛的？,1648年，张名振迎鲁王回到浙东。隔年（1649年），张名振联合阮进，攻击奉隆武年号之舟山总兵黄斌卿，将之击杀于海上，取得舟山岛。
雷振邦有哪些头衔？,中国著名的电影音乐作曲家、一级作曲、中国音乐家协会理事、中国电影音乐协会副会长、中国电影协会常务理事、第六届全国政协委员、中国民主同盟盟员。
雷振邦创作过的壮族风格歌曲是为哪部电影而作？,《刘三姐》
雷振邦毕业于哪所学校？,东京日本高等音乐学校作曲系
王安曾提拔过哪些宦官？,魏忠贤、曹化淳、王体-{干}-、王裕民、惠进皋、杨公春等
王安被谁迫害了？,遭天启帝的乳母客氏与魏忠贤所害
王安怎么死的？,忠贤以刘朝为南海子提督，将王安杖毙。死后身首异地、肉喂狗。
M72是谁发现的？,在1780年8月29日被皮埃尔·梅香发现。梅西尔随后也在10月4日和5日观测到，并将之编入星表中的第72号
M72距离地球有多远？,"M72距离地球大约53,000光年，与银心也有一段的距离。但也有资料认为M72与地球的距离是62,000光年，直径为42光年。"
梅西尔72是哪个星座的星团？,宝瓶座
盾蟒有什么外貌特征？,身体普遍呈淡黄色，有黑色或红色的间条，特色在于其头颈部位多呈深黑色。
盾蟒有毒吗？,无毒性
盾蟒主要分布在哪？,澳洲的北半部
为什么日本的盾蟒价格高涨？,由于澳洲当地的盾蟒栖息环境受到影响，政府下令禁止输出野生品种的盾蟒，因此日本国内作饲养用途的盾蟒，多数是以往从澳洲运往日本用作研究及展览的少量盾蟒的繁殖种。这些繁殖种数量极少，令日本的盾蟒价格高涨。
新巴13线由哪个公司营运？,香港新世界第一巴士
中巴1960年开设的新线为什么不用13？,12号线于1955年投入服务后，下一条路线本应为13，但当时中巴管理层却指「十三不祥」，故跳过本编号，1960年开设的新线由14号线继续排下去。
萨塞克斯什么时候被分为东西两部分的？,1189年
西萨塞克斯在哪里？,英国英格兰东南部
萨塞克斯郡被正式废除是什么时候？,《1972年地方政府法案》在1972年4月1日生效后，萨塞克斯郡连仅有的名誉郡地位也丧失掉，被正式废除
东萨塞克斯在哪里？,英国英格兰东南部
以人口计算，东萨塞克斯郡最大的自治市镇是哪里？,布莱顿-霍夫
东萨塞克斯管辖哪些区域？,实际管辖5个非都市区：黑斯廷斯（Hastings）、罗瑟（Rother）、威尔登（Wealden）、伊斯特本（Eastbourne）、刘易斯；如看待成名誉郡，它名义上包含多1个单一管理区：布莱顿-霍夫（Brighton & Hove）。
副剑齿虎主要分布于哪个时期？,分布于1500万至900万年前中新世末期的欧洲和亚洲
副剑齿虎有什么外貌特征？,副剑齿虎肩高约58厘米，与美洲豹相似，但体型更加轻盈。
哪里发现了大量副剑齿虎化石？,西班牙的马德里附近的一个中新世晚期化石点Cerro Batallones
现时地球上最高的完全垂直悬崖在哪里？,加拿大巴芬岛索尔山
哪里常见悬崖？,悬崖常见于海岸、河岸、山区及断崖（escarpment）里，瀑布的支流常常流经。
悬崖的地质多属哪种？,火成岩（例如花岗岩及玄武岩）
迦拿的婚礼在哪本书中有记载？,《约翰福音》
约翰记载说耶稣和他的门徒一同参加了在哪里举行的一场犹太婚礼？,迦拿
这个事件是约翰福音用以证明耶稣哪一方面的7个神奇的“记号”中的第一个？,神圣身位
职业安全涉及哪些领域？,横跨自然科学与社会科学，包括、公共卫生、安全工程学、人因工程学、毒理学、流行病学、（劳动研究）、公共政策、劳动社会学、、组织心理学、工商心理学、科学、科技与社会、社会法及劳动法等领域。
职业安全的内容是什么？,研究和关注职业岗位上的安全问题
「职业安全健康」是哪些专业的合称？,职业安全经常与职业健康合称为「职业安全健康」
布莱顿-霍夫在哪里？,位于英国英格兰东南区域东萨塞克斯郡，南临英伦海峡
布莱顿-霍夫有多少个选区？,21个
马来西亚皇家空军特种部队由谁训练？,英国特种空勤团(SAS)以及美国三角洲特种部队(Delta Force)
马来西亚皇家空军的前身是什么？,海峡殖民地-{志}-愿空军部队
异剑齿虎有什么外貌特征？,异剑齿虎站立时与现今的狮差不多高，身体很粗壮，估计约有180-230公斤重。
异剑齿虎属于哪一科？,剑齿虎亚科
大亨这个词起源于哪里？,源自日本语对幕府将军的尊称「大君」（tycoon）一词传入欧洲，19世纪成为欧洲人对富豪的称号。
第一个拥有「亨马车」的华人是谁？,《申报》老板史量才
巨颏虎的化石碎片在哪发现的？,非洲、欧亚大陆及北美洲
巨颏虎有什么外貌特征？,体型像现今的美洲豹，大小如大型的豹。牠们的前肢粗壮，而下前肢有如狮的大小。牠们的颈部肌肉强壮，一咬可以致命。
巨颏虎唯一完整的骨骼是在哪发现的？,法国
文颂銮为何获得「大夫」名衔？,文颂銮，曾于光绪十二年（1886年）丙戌科高中进士，朝廷钦点任「营用守府」之职，并因个人品行素著而获清帝御赐「大夫」名衔。
新田大夫第在哪里？,位于香港新界元朗区新田永平村
「大夫第」是什么意思？,所谓「大夫第」即指有功名之人士的府第。
德纳利国家公园和自然保护区在哪里？,位于美国阿拉斯加州内陆
德纳利国家公园和自然保护区里面有哪些大型野生动物？,灰熊、驯鹿、大白羊、麋鹿等
《柳生忍法帖》故事时间设定于哪一年？,日本宽永19年（即公元1642年）
《柳生忍法帖》是谁创作的?,日本小说家山田风太郎
在山田风太郎的作品中拥有最高的人气的角色是哪个？,柳生十兵卫
新巴2A线往返哪两个地方？,来往耀东邨及湾仔北，为英皇道沿线乘客提供频密的流水线服务
2R线经过哪里？,由圣保禄医院单向开往耀东邨，途经太古城及西湾河。
《Y十M〜柳生忍法帖～》这部漫画改编自谁的作品？,日本小说家山田风太郎同名小说
《Y十M〜柳生忍法帖～》的主题是什么？,作品以「因果报应」为主题，时空设定在江户时代，是一出壮大的复仇剧。
性工作者连环凶杀案什么时候发生的？,2008年3月15日至17日
性工作者连环凶杀案第四宗的凶手是之前同一连环杀手吗？,警察证实第四宗案件的凶手为另有其人，而疑凶只是模仿首三宗案件的手法，试图嫁祸于该连环杀手。
恩田陆有哪些称号？,「怀旧的魔术师」、「被故事之神眷顾的小女儿」
恩田陆的本名是什么？,熊谷奈苗
为什么加藤明成的家臣们相继出国远奔？,明成为人昏庸愚昧，毫无统率能力，于是很快便与藩内的家臣团对立起来。以两代家老重臣堀主水为首的反明成派，开始对会津藩政感到失望，家臣们相继出国远奔。
加藤明成的父亲是谁？,战国时代威震天下的贱岳七本枪其中一人加藤嘉明
加藤明成执掌藩政期间有什么贡献吗？,明成时代便将若松城天守阁加以改建，筑成五层式的新城阁，对会津藩的城镇基础有一定贡献。
会津骚动发生在什么时候？,会津骚动是江户时代时，在陆奥国会津藩藩主加藤明成年间发生的一宗家族骚乱事件。
伊予松山藩主加藤嘉明在哪一年从二十万石加封到四十万石，并转移封地至会津藩？,宽永四年（1627年）
加藤明成什么时候去世的？,万治四年1月21日
哈维尔·巴登凭借哪一部电影获得奥斯卡金像奖？,《险路勿近》
西班牙第一位奥斯卡金像奖得主是谁？,哈维尔·巴登
朱少璋有哪些学术著作？,《苏曼殊散论》、《郁达夫诗注》、《聆听学》、《规矩与方圆》等
朱少璋是哪里的作家？,香港作家
朱少璋在哪所大学获得博士学位？,香港浸会大学
富昌国际为何会在2002年12月16日起暂停买卖？,前主席何咏昌和前财务总监陈永炬被控串谋夸大本公司及附属营业额以获取上市资格，并藉伪造本公司附属向裕丰出售电子零件的交易骗取银行信用状。
富昌国际什么时候创办的？,1996年
富昌国际为什么会被撤销上市？,公司因未能向港交所提交复牌建议，而根据《香港联合交易所有限公司证券上市规则》条例第17条，裁定本公司在2006年6月28日于上午9时30分撤销上市。
霍弋是哪个时期的人？,三国时期蜀汉及西晋将领
霍弋为什么要规劝刘璿？,刘璿好骑射，出入无度
霍弋的父亲是谁？,父亲为霍峻，同样是蜀汉将领。
黄浩然在2004年8月的代训选秀会中于哪个队选中？,诚泰COBRAS
黄浩然目前在哪里效力？,中华职棒Lamigo桃猿队
黄浩然为什么有「诗人」的外号？,因为名字让人联想起孟浩然
白金汉郡在哪里？,英国东南英格兰
白金汉郡第一大镇是哪里？,米尔顿凯恩斯
白金汉郡有多少个镇？,19个
书局街廉租屋宇为什么改名为丹拿山邨？,由于当时屋宇建设委员会的北角邨亦是位于书局街，房协避免公众误会，加上政府将该地方命名为丹拿山区，所以房协亦将此屋邨改名为丹拿山邨。
丹拿山邨有几座楼？,该屋邨共有两座大厦，分别名为黄鹤楼（Yellow Stork House，丹拿道2号）及松树楼（Pine Tree House，丹拿道4号）
丹拿山邨是哪个事务所设计的？,周耀年李礼之建筑师工程师事务所
疟疾地图计划的主要目标是什么？,该计划的主要目标是详细画出全球疟疾（恶性疟与间日疟）分布的界限，并在疟疾分布区域中提供疾病盛行的资讯
疟疾地图计划是哪个国家支持的？,英国
对食和菜户有什么区别？,对食可以是宦官与宫女，或是宫女与宫女之间的爱情，但多为短暂交往；而菜户则专指宦官与宫女的长久稳定恋爱关系，有如夫妻。
为什么严格禁止明朝宦官在外娶妻？,主要为防止外臣干涉宫廷事务
萧贺硕是哪里人？,台湾创作歌手
萧贺硕哪首歌荣获第25届金曲奖最佳作曲人奖？,《Musicians》
萧贺硕毕业于哪所大学？,台北医学大学医学检验暨生物技术学系
什么叫菜户？,菜户指明朝时期宦官与宫女之间的夫妻关系
明朝最后一次放宫女出宫是什么时候？,1621年
九三砲战中有哪些无辜伤亡？,据统计，仅金门方面，1954年－1957年间的大小砲战中，在地居民就有63人死亡，自愿来华的美军顾问法兰克·林恩中校与孟登道中校在水头码头中弹阵亡
九三炮战地点在哪？,中华民国福建省金门县
哪些地方发现过古飙的化石？,在加拿大的沙斯卡寸旺、美国的佛罗里达州、蒙大拿州、内布拉斯加州、南达科他州、北达科塔州、怀俄明州及俄勒冈州都有发现古飙的化石。
古飙体长是多少？,体长1.1米
滇藏公路多长？,全长715km
修建滇藏公路的背景是什么？,解放西藏，云南军区派出一支解放军部队进军藏东南的支前交通保障
滇藏公路经过哪些地方？,它穿过横断山区原始森林，横跨金沙江，翻过百芒雪山和红拉雪山垭口（海拔4380米）。
白沙细乐的名称是怎么来的？,白沙细乐是由纳西族聚居的中国云南丽江以北的重镇白沙而得名，由于乐队中不用音响强烈的打击乐器和管乐器，所以又名“细乐”。
白沙细乐有什么历史渊源？,白沙细乐据说是在13世纪时蒙古大军南征云南，当时元世祖忽必烈和纳西族土司木天王结盟，留赠他一个乐队和乐谱，其音乐几百年一直流传下来。
白沙细乐至今保留了哪些曲目？,《到春来》、《吉祥》等20余首
乐礼街在哪里？,是香港香港岛中西区的一条行车道路，位于金钟东部，南接金钟道，北接夏悫道。
乐礼街的英文名是怎么来的？,来自英军船舰，因金钟原址为海军总部添马舰。而Rodney是英国显赫大家族的姓氏－罗德尼男爵，最著名的是18世纪英国皇家海军军官第一代罗德尼男爵。
安德海做了什么讨得了慈禧太后欢心？,咸丰十一年（1861年）发生的辛酉政变中，安德海把遗诏密报慈禧太后那拉氏，深得慈禧太后的欢心，升为总管太监。
安德海入宫后成为哪个皇帝的御前太监？,咸丰帝
谁逮捕了安德海？,山东巡抚丁宝桢
剑齿虎是一个物种吗？,剑齿虎是指多种不同的物种，主要是分类在猫科下的剑齿虎亚科、鬣齿兽科及猎猫科，且包括有袋下纲的两个科
剑齿虎生存在哪一时期？,约始新世中期，最后消失的则约在几千年前。
剑齿虎哪一分支演化得最迟？,猫科的剑齿虎
普列谢茨克航天发射场的名字是怎么来的？,普列谢茨克发射场得名于阿尔汉格尔斯克州的一个“城市式”乡普列谢茨克。
普列谢茨克航天发射场在哪里？,阿尔汉格尔斯克州
为什么普列谢茨克不适合用来发射小倾角卫星和地球同步轨道卫星？,高纬度的地理位
区域限制是什么？,区域限制或称锁区（）是一个在储存媒体中「限定在某区域内才能正常使用」的程式、码、条或物理障碍限制，用以保障每个地区的影音产品经销商与代理商权益。
有些厂牌的游戏软体与游戏机若分属不同地区版本能正常使用吗？,有些厂牌的游戏软体与游戏机若分属不同地区版本则无法使用
房屋检验师的主要工作是什么？,提供购屋者在交屋验收阶段，标准化的专业验收流程及相关咨询服务
房屋检验师此举系于哪一年率先由美国验屋师协会在北美推动？,1976年
房屋检验师是由哪个国家兴起的？,此举系于1976年率先由美国验屋师协会在北美推动，随后推广到世界各国。
弗来明·戴夫斯的突出成就是什么？,是1977年在瑞典马尔默赢得首届世界锦标赛男子单打冠军
弗来明·戴夫斯是谁？,已退休丹麦男子羽毛球运动员
弗来明·戴夫斯的黄金时代是什么时候？,弗来明·戴夫斯的黄金时代为1970年代初期至1980年代初期，曾赢得丹麦全国赛及国际赛冠军。
张文礼是是哪里人？,燕
张文礼是哪个朝代的？,燕人，五代十国初期成德军留后
白蛋白最重要的作用是什么？,在人体内它最重要的作用是维持胶体渗透压。
身体缺少白蛋白会怎么样？,身体缺少白蛋白会导致浮肿。
人体内白蛋白的正常值是多少？,新生儿28～44g/L，14岁后38～54g/L，成人35～50g/L，60岁后为34～48g/L
明日赞歌是谁的作品？,中国歌手阿兰·达瓦卓玛以alan之名在日本的首张出道单曲
明日赞歌的主旨是什么？,和平、爱和反战
三司官是什么？,亦称法司，是琉球国朝廷的最高执政机构，也是这个机构所有官员的官职名称。
三司官由哪些人投票选出？,王族、上级士族共约二百余名
哪本文献指出三司官一职早而有之？,《中山世谱》
三司官的官阶有多大？,由正一品至从二品，
为什么要把义厅与台南厅合并？,大正9年(1920年)7月，时任台湾总督田健治郎为提高地方官的权限，废西部十厅，实施「五州二厅」制度，嘉义厅与台南厅合并为台南州。
嘉义厅什么时候设立的？,嘉义厅为台湾日治时期行政区划，设立于明治三十四年(1901年)
王薇被担正为女主角后出演过哪些剧？,《97变色龙》、《中国教父之再起风云》、《与狼共枕》、《肥猫正传II》等。
王薇获得哪一年亚洲小姐亚军？,1993年
季华园站在哪里？,是广佛地铁的一座车站，位于佛山市汾江南路影荫路口南侧的地底，毗邻季华公园。
季华园站的主要客流来自哪？,本站周围有不少住宅区，亦临近季华公园，故本站客流主要以来往早晚通勤以及游览季华公园的客流为主
塞琉古国王安条克为什么去希腊半岛？,他听信阿塔马尼亚人亚历山大的进言，希望能获得其他希腊势力的支援一同对抗罗马
温泉关战役的结果是什么？,据记载罗马仅损失100多人，而塞琉古几乎全军覆没，无可奈何下安条克三世只能撤回小亚细亚，而埃托利亚同盟不久后向罗马投降。
张处瑾是谁？,燕人，五代十国初期成德节度使留后张文礼的儿子。
张处瑾被谁处死了？,李存勖
《基尔条约》是哪两方签订的？,瑞典和丹麦-挪威
《基尔条约》什么时候签订的？,1814年1月14日
瑞典-挪威联合正式成立是在什么时候？,挪威议会对宪法作出一些必要修改，并于11月4日选出瑞典国王卡尔十三世为挪威国王，标志着瑞典-挪威联合正式成立。
张容轩当时为什么决定效力台银？,一、相较于其他明星球队，在台银的上场机会较多。二、台银的入行条件很吸引他，为篮球生涯退休后的生活做准备。
张容轩什么时候获选为冠军赛最有价值球员MVP？,在99学年度UBA大专篮球联赛
张容轩目前效力于哪支球队？,金门酒厂篮球队
《新扎师兄1988》是什么类型的电视剧？,时装警匪电视剧
《新扎师兄1988》是哪个公司制作的？,香港电视广播有限公司
原来的神庙有多大？,大约60 x 60米
朱庇特神庙在哪？,罗马的卡比托利欧山
第二神庙什么时候被毁的？,公元69年四帝之年韦帕芗与进城称帝者的战斗中
荷兰统计局的职能是什么？,专门收集荷兰统计资讯的政府部门
荷兰中央统计局什么时候成立的？,1899年
荷兰中央统计局的缩写是什么？,CBS
《最后一个人》的电影剧本是谁写的？,约翰·威廉和乔伊斯·卡灵顿
《最后一个人》是根据哪个人的小说改编的？,李察·麦森的小说《我是传奇》
偶然性怎么解释？,可见用「偶然」来形容某事件时有一种突然而意想不到的意味，而「偶然性」则是指使它具有这种意味的性质，在专业领域里通常称之为随机性。
把偶然性量化的方法是什么？,概率论为基础的随机性模型
约瑟法·伊洛伊洛的全名是什么？,拉图约瑟法·伊洛伊洛瓦图·乌卢伊武达
约瑟法·伊洛伊洛出生在哪个国家？,斐济
约瑟法·伊洛伊洛晚年患上了什么病？,帕金森症
弗兰克·姆拜尼马拉马推翻了由谁领导的斐济政府？,莱塞尼亚·恩加拉塞
参与北约组织的国家中有多少成员国废除了排斥同志从军的政策？,超过20个国家
中东地区哪个国家允许同志在军中服务？,以色列
同志指什么？,男同性恋、女同性恋和双性恋
多数国家对于同志参军采取什么政策？,多数国家则是对此无特别禁止但也没有平权措施
一些国家对于同志从军采取什么政策？,一些国家确保男同性恋与女同性恋能公开身份在军中服务，并给予他们同等权利及保障他们的同性恋基本权利。
真理之口是什么样子的？,一个大理石雕刻，类似人的面孔
真理之口在哪个国家？,意大利
真理之口最有名的特色是什么？,真理之口最有名的特色，是用作测谎仪。
真理之口于1953年曾出现在哪部电影中？,《罗马假期》
真理之口的复制品常出现在哪些地方？,西班牙和匈牙利的游乐场、英国的一些高速公路服务站，和丹麦的一些火车站的电子投币口。
迄至2017年10月，台湾总人口是多少？,2356万2318人
郑氏在台湾经营了多少年？,20年
满清统治初期，为免明郑死灰复燃，曾长期采取什么政策？,海禁政策
目前台湾人口面临什么危机？,少子化危机
1895年，清廷通过马关条约将台湾割让给了哪个国家？,日本
奥古斯都陵墓是谁的大型陵墓？,古罗马皇帝
奥古斯都陵墓是什么时候修建的？,公元前28年
奥古斯都陵墓修建于哪个广场？,罗马战神广场
奥古斯都陵墓的拱形入口两侧有什么？,一对粉红色的花岗岩方尖碑
陵墓的直径和高是多少？,陵墓直径90米，高42米。
资源型城市的定义是什么？,资源型城市（包括资源型地区）是中国对以矿产、森林等自然资源开采、加工为主导产业的城市类型的总称。
